Name,Model,Trim,Student,Military,First_Responder,Bonus,Loyalty,Conquest,Mobility
Ford,2020 Ford Expedition,XLT 4dr SUV (3.5L 6cyl Turbo 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford F-150,XLT 4dr SuperCrew 4WD 5.5 ft. SB (3.3L 6cyl 6A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,"$1,500 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021","$3,750 Loyalty for Retail or Lease - Expires 03/31/2021",,
Ford,2020 Ford Transit Passenger Van,"350 XL Medium Roof 3dr Van w/148"" WB (3.5L 6cyl 10A)",,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,000 Loyalty for Retail or Lease - Expires 03/31/2021","$2,500 Conquest for Retail or Lease - Expires 03/31/2021,$1,000 Conquest for Retail or Lease - Expires 03/31/2021",
Ford,2020 Ford Edge,SEL 4dr SUV AWD (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Shelby GT350,2dr Coupe (5.2L 8cyl 6M),,,,,,,
Ford,2020 Ford Fusion Hybrid,SE 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford EcoSport,SE 4dr SUV (1.0L 3cyl Turbo 6A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Fusion,SE 4dr Sedan (1.5L 4cyl Turbo 6A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Transit Cargo Van,"250 Medium Roof 3dr Van w/130"" WB (3.5L 6cyl 10A)",,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,000 Loyalty for Retail or Lease - Expires 03/31/2021","$2,500 Conquest for Retail or Lease - Expires 03/31/2021,$1,000 Conquest for Retail or Lease - Expires 03/31/2021",
Ford,2020 Ford Escape,SE 4dr SUV AWD (1.5L 3cyl Turbo 8A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Ford,2020 Ford Mustang,EcoBoost 2dr Coupe (2.3L 4cyl Turbo 6M),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Transit Connect,Cargo Van XL 4dr Minivan w/Rear 180 Degree Doors LWB (2.0L 4cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford F-250 Super Duty,Limited 4dr Crew Cab 4WD LB (6.7L 8cyl Turbodiesel 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Shelby GT500,2dr Coupe (5.2L 8cyl S/C 7AM),,,,,,,
Ford,2020 Ford Fusion Plug-In Hybrid,Titanium 4dr Sedan (2.0L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2020 Ford Explorer,XLT 4dr SUV AWD (2.3L 4cyl Turbo 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Ford,2021 Ford F-450 Super Duty,XL 2dr Regular Cab DRW (6.7L 8cyl Turbodiesel 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford F-350 Super Duty,Platinum 4dr Crew Cab LB DRW (6.2L 8cyl 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Escape Plug-In Hybrid,SE 4dr SUV (2.5L 4cyl gas/electric hybrid EVT),,,,,,,
Ford,2021 Ford F-250 Super Duty,King Ranch 4dr Crew Cab SB (6.2L 8cyl 6A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Bronco Sport,Badlands 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,,,
Ford,2021 Ford Mustang,EcoBoost 2dr Coupe (2.3L 4cyl Turbo 6M),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Transit Connect,Cargo Van XL 4dr Minivan w/Rear 180 Degree Doors LWB (2.0L 4cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Explorer,XLT 4dr SUV AWD (2.3L 4cyl Turbo 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Ford,2021 Ford F-150,XLT 4dr SuperCrew 4WD 5.5 ft. SB (3.3L 6cyl 10A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,750 Loyalty for Retail or Lease - Expires 03/31/2021",,
Ford,2021 Ford Edge,SE 4dr SUV (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Escape,S 4dr SUV (1.5L 3cyl Turbo 8A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Expedition,XL 4dr SUV (3.5L 6cyl Turbo 10A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford EcoSport,SES 4dr SUV AWD (2.0L 4cyl 6A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Ranger,XL 4dr SuperCab SB (2.3L 4cyl Turbo 10A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,
Ford,2021 Ford Mustang Mach-E,Select 4dr Hatchback w/Standard Range (electric DD),,,,,,,
Acura,2020 Acura NSX,2dr Coupe AWD (3.5L 6cyl Turbo gas/electric hybrid 9AM),,,,,,,
Acura,2020 Acura RLX,Sport Hybrid SH-AWD 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,"$1,000 Loyalty for Retail or Lease - Expires 03/31/2021",,
Acura,2020 Acura MDX,SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 9A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Acura,2020 Acura RDX,SH-AWD 4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021","$1,000 Conquest for Retail or Lease - Expires 03/31/2021",
Acura,2021 Acura ILX,4dr Sedan (2.4L 4cyl 8AM),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,$500 Conquest for Retail or Lease - Expires 03/31/2021,
Acura,2021 Acura TLX,SH-AWD 4dr Sedan AWD w/2.0T and A-Spec Package (2.0L 4cyl Turbo 10A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,"$2,500 Loyalty for Retail or Lease - Expires 03/31/2021","$2,500 Conquest for Retail or Lease - Expires 03/31/2021",
Acura,2021 Acura RDX,SH-AWD 4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,"$1,500 Loyalty for Retail or Lease - Expires 03/31/2021","$1,000 Conquest for Retail or Lease - Expires 03/31/2021",
Acura,2022 Acura MDX,4dr SUV (3.5L 6cyl 10A),,,,,,,
Acura,2020 Acura TLX,4dr Sedan (2.4L 4cyl 8AM),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$750 Military for Retail or Lease - Expires 03/31/2021,,,,,
Volvo,2020 Volvo V90,T6 Inscription 4dr Wagon AWD (2.0L 4cyl Twincharger 8A),,,,,,,
Volkswagen,2020 Volkswagen Arteon,SEL R-Line 4dr Hatchback AWD (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Volkswagen,2020 Volkswagen Jetta GLI,S 4dr Sedan (2.0L 4cyl Turbo 6M),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Toyota,2020 Toyota Highlander Hybrid,XLE 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),,,,,,,
Nissan,2020 Nissan NV Passenger,3500 SL 3dr Van (5.6L 8cyl 7A),,,,,,,
Nissan,2020 Nissan NV Cargo,2500 SV 3dr Van w/High Roof (4.0L 6cyl 5A),,,,,,,
MINI,2020 MINI Convertible,Cooper S 2dr Convertible (2.0L 4cyl Turbo 7AM),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 01/03/2022,,,,,
Mercedes-Benz,2021 Mercedes-Benz GLE-Class Coupe,AMG GLE 53 4dr SUV AWD (3.0L 6cyl Twincharger gas/electric hybrid 9A),,,,,"$1,000 Loyalty for Lease - Expires 03/31/2021",,
Toyota,2020 Toyota Mirai,4dr Sedan (electric (fuel cell) DD),,,,,,,
Mazda,2020 Mazda MX-5 Miata RF,Grand Touring 2dr Convertible (2.0L 4cyl 6M),,$500 Military for Lease - Expires 03/31/2021,,,$750 Loyalty for Lease - Expires 03/31/2021,,
Maserati,2020 Maserati Quattroporte,S GranSport 4dr Sedan (3.0L 6cyl Turbo 8A),,,,,"$6,000 Loyalty for Lease - Expires 03/31/2021",,
Lincoln,2020 Lincoln Nautilus,Reserve 4dr SUV AWD (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$1,000 Loyalty for Retail or Lease - Expires 03/31/2021","$1,500 Conquest for Retail or Lease - Expires 03/31/2021",
Lincoln,2020 Lincoln Continental,Reserve 4dr Sedan AWD (2.7L 6cyl Turbo 6A),$500 Student/College Grad for Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,"$2,000 Loyalty for Retail or Lease - Expires 03/31/2021","$1,500 Conquest for Retail or Lease - Expires 03/31/2021",
Lexus,2021 Lexus ES 300h,Ultra Luxury 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),"$1,000 Student/College Grad for Retail or Lease - Expires 01/03/2022","$1,000 Military for Retail or Lease - Expires 01/03/2022",,,"$1,500 Loyalty for Lease - Expires 03/31/2021",,
Land,2021 Land Rover Range Rover Sport,P360 HSE Silver Edition 4dr SUV 4WD (3.0L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,
Land,2020 Land Rover Discovery,Landmark Edition 4dr SUV 4WD (3.0L 6cyl S/C 8A),,,,,,,
Jeep,2020 Jeep Compass,Latitude 4dr SUV 4WD (2.4L 4cyl 6M),,$500 Military for Retail or Lease - Expires 01/03/2022,,,"$500 Loyalty for Retail or Lease - Expires 03/31/2021,$500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Jeep,2020 Jeep Wrangler,Unlimited Rubicon 4dr SUV 4WD (3.6L 6cyl 6M),,,$500 First Responder for Retail or Lease - Expires 01/04/2022,,,,
Jeep,2020 Jeep Grand Cherokee,Limited 4dr SUV 4WD (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Jeep,2020 Jeep Cherokee,Limited 4dr SUV 4WD (3.2L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$500 Loyalty for Retail or Lease - Expires 03/31/2021,$500 Loyalty for Retail or Lease - Expires 03/31/2021",,
Jeep,2020 Jeep Renegade,Latitude 4dr SUV 4WD (2.4L 4cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Jeep,2020 Jeep Gladiator,Sport S 4dr Crew Cab 4WD SB (3.6L 6cyl 6M),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,,,
Jeep,2021 Jeep Grand Cherokee,Limited 4dr SUV 4WD (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$500 Loyalty for Retail or Lease - Expires 03/31/2021,$1,500 Loyalty for Lease - Expires 03/31/2021",,
Jeep,2021 Jeep Gladiator,Sport S 4dr Crew Cab 4WD SB (3.6L 6cyl 6M),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,"$1,500 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",,,
Jeep,2021 Jeep Cherokee,Limited 4dr SUV 4WD (3.2L 6cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$500 Loyalty for Lease - Expires 03/31/2021,$500 Loyalty for Retail or Lease - Expires 03/31/2021,$750 Loyalty for Lease - Expires 03/31/2021",,
Jeep,2021 Jeep Wrangler,Unlimited Rubicon 4dr SUV 4WD (3.6L 6cyl 6M),,,,,,,
Jeep,2021 Jeep Compass,Limited 4dr SUV 4WD (2.4L 4cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,"$500 Loyalty for Retail or Lease - Expires 03/31/2021,$500 Loyalty for Lease - Expires 03/31/2021",,
Jeep,2021 Jeep Renegade,Latitude 4dr SUV 4WD (2.4L 4cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Kia,2020 Kia Niro Plug-In Hybrid,EX Premium 4dr SUV (1.6L 4cyl gas/electric hybrid 6AM),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Cadenza,Technology 4dr Sedan (3.3L 6cyl 8A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Stinger,GT-Line 4dr Sedan (2.0L 4cyl Turbo 8A),,,,,,,
Kia,2020 Kia K900,Luxury 4dr Sedan AWD (3.3L 6cyl Turbo 8A),,$400 Military for Retail or Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Niro EV,EX 4dr SUV (electric DD),,$400 Military for Retail or Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Niro,LXS 4dr SUV (1.6L 4cyl gas/electric hybrid 6AM),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Rio,S 4dr Sedan (1.6L 4cyl CVT),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Sorento,LX 4dr SUV (2.4L 4cyl 6A),,,,,,,
Kia,2020 Kia Optima,LX 4dr Sedan (2.4L 4cyl 6A),,,,,,,
Kia,2020 Kia Sedona,LX 4dr Minivan (3.3L 6cyl 8A),,,,,,,
Kia,2020 Kia Optima Plug-In Hybrid,EX 4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),,,,,,,
Kia,2020 Kia Optima Hybrid,EX 4dr Sedan (2.0L 4cyl gas/electric hybrid 6A),,,,,,,
Kia,2020 Kia Soul,LX 4dr Wagon (2.0L 4cyl CVT),,,,,,,
Kia,2020 Kia Forte,LXS 4dr Sedan (2.0L 4cyl CVT),,,,,,,
Kia,2020 Kia Telluride,LX 4dr SUV (3.8L 6cyl 8A),,,,,,,
Kia,2021 Kia Sorento Hybrid,S 4dr SUV (1.6L 4cyl Turbo gas/electric hybrid 6A),,$400 Military for Retail or Lease - Expires 03/31/2021,,,,,
Kia,2020 Kia Sportage,LX 4dr SUV (2.4L 4cyl 6A),,,,,,,
Kia,2021 Kia Rio,S 4dr Sedan (1.6L 4cyl CVT),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Forte,LXS 4dr Sedan (2.0L 4cyl CVT),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Sedona,LX 4dr Minivan (3.3L 6cyl 8A),,$400 Military for Retail or Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Soul,LX 4dr Wagon (2.0L 4cyl CVT),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Sportage,LX 4dr SUV (2.4L 4cyl 6A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Sorento,LX 4dr SUV (2.5L 4cyl 8A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia K5,GT-Line 4dr Sedan (1.6L 4cyl Turbo 8A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Seltos,S 4dr SUV (2.0L 4cyl CVT),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2021 Kia Telluride,SX 4dr SUV AWD (3.8L 6cyl 8A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Kia,2022 Kia Carnival,LX 4dr Minivan (3.5L 6cyl 8A),,,,,,,
Land,2020 Land Rover Range Rover Sport,P360 HSE 4dr SUV 4WD (3.0L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,
Land,2020 Land Rover Range Rover,P400 HSE 4dr SUV 4WD (3.0L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,
Land,2020 Land Rover Discovery Sport,P250 S 4dr SUV AWD (2.0L 4cyl Turbo 9A),,,,,,,
Land,2020 Land Rover Range Rover Velar,P250 R-Dynamic S 4dr SUV AWD (2.0L 4cyl Turbo 8A),,,,,,,
Land,2020 Land Rover Defender,P400 110 HSE 4dr SUV AWD (3.0L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,
Land,2020 Land Rover Range Rover Evoque,S 4dr SUV AWD (2.0L 4cyl Turbo 9A),,,,,,,
Kia,2021 Kia Stinger,GT-Line 4dr Sedan (2.0L 4cyl Turbo 8A),,$400 Military for Lease - Expires 03/31/2021,,,,,
Land,2021 Land Rover Defender,P400 110 X-Dynamic SE 4dr SUV AWD (3.0L 6cyl Twincharger gas/electric hybrid 8A),,,,,,,
